month,campus,campus_weight,allocated_spend,target_leads,target_appointments,target_demos,target_enrollments
Jul 26,Campus 11,0.045455,124800.0,306.4436,15.9606,6.3842,1.9153
Jul 26,Campus 12,0.045455,124800.0,306.4436,15.9606,6.3842,1.9153
Jul 26,Campus 13,0.045455,124800.0,306.4436,15.9606,6.3842,1.9153
Jul 26,Campus 14,0.045455,124800.0,306.4436,15.9606,6.3842,1.9153
Jul 26,Campus 15,0.045455,124800.0,306.4436,15.9606,6.3842,1.9153
Jul 26,Campus 16,0.045455,124800.0,306.4436,15.9606,6.3842,1.9153
Jul 26,Campus 17,0.045455,124800.0,306.4436,15.9606,6.3842,1.9153
Jul 26,Campus 18,0.045455,124800.0,306.4436,15.9606,6.3842,1.9153
Jul 26,Campus 19,0.045455,124800.0,306.4436,15.9606,6.3842,1.9153
Jul 26,Campus 20,0.045455,124800.0,306.4436,15.9606,6.3842,1.9153
Jul 26,Campus 21,0.045455,124800.0,306.4436,15.9606,6.3842,1.9153
Jul 26,Campus 22,0.045455,124800.0,306.4444,15.9607,6.3851,1.9147
Aug 26,Campus 1,0.045455,78000.0,187.7718,9.9754,3.9901,1.197
Aug 26,Campus 2,0.045455,78000.0,187.7718,9.9754,3.9901,1.197
Aug 26,Campus 3,0.045455,78000.0,187.7718,9.9754,3.9901,1.197
Aug 26,Campus 4,0.045455,78000.0,187.7718,9.9754,3.9901,1.197
Aug 26,Campus 5,0.045455,78000.0,187.7718,9.9754,3.9901,1.197
Aug 26,Campus 6,0.045455,78000.0,187.7718,9.9754,3.9901,1.197
Aug 26,Campus 7,0.045455,78000.0,187.7718,9.9754,3.9901,1.197
Aug 26,Campus 8,0.045455,78000.0,187.7718,9.9754,3.9901,1.197
Aug 26,Campus 9,0.045455,78000.0,187.7718,9.9754,3.9901,1.197
Aug 26,Campus 10,0.045455,78000.0,187.7718,9.9754,3.9901,1.197
Aug 26,Campus 11,0.045455,78000.0,187.7718,9.9754,3.9901,1.197
Aug 26,Campus 12,0.045455,78000.0,187.7718,9.9754,3.9901,1.197
Aug 26,Campus 13,0.045455,78000.0,187.7718,9.9754,3.9901,1.197
Aug 26,Campus 14,0.045455,78000.0,187.7718,9.9754,3.9901,1.197
Aug 26,Campus 15,0.045455,78000.0,187.7718,9.9754,3.9901,1.197
Aug 26,Campus 16,0.045455,78000.0,187.7718,9.9754,3.9901,1.197
Aug 26,Campus 17,0.045455,78000.0,187.7718,9.9754,3.9901,1.197
Aug 26,Campus 18,0.045455,78000.0,187.7718,9.9754,3.9901,1.197
Aug 26,Campus 19,0.045455,78000.0,187.7718,9.9754,3.9901,1.197
